,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,productionCountries,originCountry,overview,CountryName,RuntimeMinutes
17,Gran Turismo: Based on a True Story,tt4495098,Gran Turismo: Based on a True Story,No,,14000000,2:14,6300000,Gran Turismo: Based on a True Story,1000.0,movie,Gran Turismo,Gran Turismo,2023.0,134.0,"Action,Adventure,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,['United States of America'],134
460,Spirited Away,tt0245429,Spirited Away // ________,No,,13200000,2:05,6300000,Spirited Away,1000.0,movie,Spirited Away,Sen to Chihiro no kamikakushi,2001,124,"Adventure,Animation,Family","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",['Japan'],125
456,Law Abiding Citizen,tt1197624,Law Abiding Citizen,No,,11400000,1:49,6300000,Law Abiding Citizen,1000.0,movie,Law Abiding Citizen,Law Abiding Citizen,2009,109,"Action,Crime,Drama","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,"['United Kingdom', 'United States of America']",109
452,Fear Street Part 1: 1994,tt6566576,Fear Street Part 1: 1994,Yes,2021-07-02,11200000,1:47,6300000,Fear Street Part 1: 1994,2021.0,movie,Fear Street: Part One - 1994,Fear Street: 1994,2021,107,"Drama,Horror,Mystery","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",['United States of America'],107
455,Infinite,tt6654210,Infinite,No,,11200000,1:46,6300000,Infinite,1000.0,movie,Infinite,Infinite,2021,106,"Action,Sci-Fi,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",['United States of America'],106
459,Secret Magic Control Agency,tt13932162,Secret Magic Control Agency,No,2021-03-25,11000000,1:45,6300000,Secret Magic Control Agency,2021.0,movie,Secret Magic Control Agency,"Hansel, Gretel i Agentstvo Magii",2021,103,"Adventure,Animation,Comedy","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",['RU'],"The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House.",['Russia'],105
462,The Pope's Exorcist,tt13375076,The Pope's Exorcist,No,,11000000,1:44,6300000,The Pope's Exorcist,1000.0,movie,The Pope's Exorcist,The Pope's Exorcist,2023,103,"Horror,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",['United States of America'],104
464,Uncle Drew,tt7334528,Uncle Drew,No,,10900000,1:43,6300000,Uncle Drew,1000.0,movie,Uncle Drew,Uncle Drew,2018,103,"Comedy,Drama,Sport","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Uncle Drew recruits a squad of older basketball players to return to the court to compete in a tournament.,['United States of America'],103
461,The Expendables 4,tt3291150,The Expendables 4,No,,10800000,1:43,6300000,The Expendables 4,1000.0,movie,The Expendables 4,Expend4bles,2023,103,"Action,Adventure,Thriller","[{'iso_3166_1': 'BG', 'name': 'Bulgaria'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.","['Bulgaria', 'France', 'United States of America']",103
16,Faith in the Impossible,tt32282525,Faith in the Impossible // F Para o Impossvel,Yes,,10500000,1:40,6300000,Faith in the Impossible,1000.0,movie,Fé para o Impossível,Fé para o Impossível,2025.0,100.0,"Biography,Drama","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",['BR'],"American pastor Renee Murdoch, who lives in Rio de Janeiro, was tragically attacked during a run in September 2012. Hospitalized in a critical condition and with minimal prospects of recovery, she received the full support of her family and her husband Philip, who shared Renee's struggle with the world, hoping to bring together as many people as possible in prayer for her recovery.",['Brazil'],100
18,Pokmon: Mewtwo Strikes Back - Evolution,tt8856470,Pokmon: Mewtwo Strikes Back - Evolution // ________ EVOLUTION,Yes,2020-02-27,10300000,1:38,6300000,Pokmon: Mewtwo Strikes Back - Evolution,2020.0,movie,Pokémon: Mewtwo Strikes Back - Evolution,Gekijô-ban poketto monsutâ: Myûtsû no gyakushû Evolution,2019.0,98.0,"Action,Animation,Family","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"After accepting an invitation from a mysterious trainer, Ash, Misty and Brock meet Mewtwo, an artificially created Pokémon who wants to do battle.",['Japan'],98
458,Richie Rich,tt0110989,Richie Rich (1994),No,,9800000,1:34,6300000,Richie Rich,1994.0,movie,Richie Rich,Ri¢hie Ri¢h,1994,95,"Comedy,Family","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.",['United States of America'],94
468,Spider-Man,tt0145487,Spider-Man (2002),No,,12600000,2:01,6200000,Spider-Man,2002.0,movie,Spider-Man,Spider-Man,2002,121,"Action,Adventure,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",['United States of America'],121
465,Grease,tt0077631,Grease,No,,11400000,1:51,6200000,Grease,1000.0,movie,Grease,Grease,1978,110,"Comedy,Musical,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",['US'],"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?","['United States of America', 'United Kingdom']",111
